1,Blanco,#FFFFFF
2,Negro,#000000
3,Rojo,#FF0000
4,Verde,#6400
5,Azul,#0000FF
6,Cafe,#b87333
7,Naranja,#FF731F
8,Plata,#d6d6d6
9,Celeste,#7AD2F6
10,Amarillo,#FFFB63
11,Transparente,#E7E3E0
12,Violeta,#7E5CA8
13,Gris,#A8A7AC
14,Rosa,#FF00FF
17,Morado,#918093
16,Madera,#BB815B
18,Beige,#D3A583
19,Oro,#E49E56
20,Pasto,#00AD4A
21,Guinda,#8C2D2B
22,Humo,#5B4D4D
23,Azul oscuro,#2E1C60
24,Azul claro,#0FC5EF
25,Verde Claro,#80F93A
26,Vino,#5e2129
